概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
スカパーＪＳＡＴホールディングス(9412)の売り予想。 むかちゃん さんの売買予想。 目標株価： 628円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) う,スカパーJSATホールディングス,2014/08/13,10:08,売り予想,むかちゃんさん,505.28,627.0,+62.58,628,短期(数分～数日),業績(会社計画の修正発表を含む),,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\31.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 gfmdd184116 さんの売買予想。 目標株価： 700円 期間： 中期(数週間~数ヶ月) 理由： チャート 永かった冬,スカパーJSATホールディングス,2014/06/21,00:56,買い予想,gfmdd184116さん,-0.82,579.0,-45.18,700,中期(数週間～数ヶ月),チャート,,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\32.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 552円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。,スカパーJSATホールディングス,2013/12/06,18:00,買い予想,地球猛獣群さん,72.7,546.0,-30.72,552,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\33.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 yndnot さんの売買予想。 目標株価： 982円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,スカパーJSATホールディングス,2013/05/20,05:09,買い予想,yndnotさん,76.59,496.5,-5.44,982,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\34.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 ユデダコ さんの売買予想。 目標株価： 800円 期間： 短期(数分~数日) 理由： チャート 買い,スカパーJSATホールディングス,2013/03/01,11:07,買い予想,ユデダコさん,17.58,455.5,+19.66,800,短期(数分～数日),チャート,衛星 軍需,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\35.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 福之神 さんの売買予想。 目標株価： 510円 期間： 中期(数週間~数ヶ月) 理由： チャート 買いです,スカパーJSATホールディングス,2012/12/13,18:32,買い予想,福之神さん,287.47,354.5,+106.28,510,中期(数週間～数ヶ月),チャート,買い。http://yoseyo.net/9/9412/,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\36.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 shinbo さんの売買予想。 目標株価： 510円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,スカパーJSATホールディングス,2012/11/24,15:42,買い予想,shinboさん,590.92,353.0,+107.94,510,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/11/23 02:47
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「49,371円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\37.html
"スカパーＪＳＡＴホールディングス(9412)の買い予想。 9412 さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： その他 衛星材料豊富",スカパーJSATホールディングス,2012/07/29,16:34,買い予想,9412さん,183.8,334.0,+130.26,"2,000",長期(数ヶ月～数年),その他,変貌,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\38.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 moko♡ さんの売買予想。 目標株価： 510円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡,スカパーJSATホールディングス,2012/06/06,23:56,買い予想,moko♡さん,338.94,310.0,+162.36,510,中期(数週間～数ヶ月),チャート,"全銘柄分析中で～す♡ 

ヨコヨコだね 
　(＊^_-＊)~♡ 
",488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\39.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 まるおちゃん さんの売買予想。 目標株価： 518円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に反対,スカパーJSATホールディングス,2017/02/12,19:34,買い予想,まるおちゃんさん,-1.19,490.0,-1.74,518,短期(数分～数日),チャート,,488.0,04月10日,12:19,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\4.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 AAI Fund さんの売買予想。 目標株価： 510円 期間： 長期(数ヶ月～数年) 理由： チャート kai,スカパーJSATホールディングス,2012/06/06,17:25,買い予想,AAI Fundさん,594.97,310.0,+162.36,510,長期(数ヶ月～数年),チャート,,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\40.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 avenue722 さんの売買予想。 目標株価： 510円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,スカパーJSATホールディングス,2012/03/14,20:45,買い予想,avenue722さん,262.46,375.5,+84.43,510,中期(数週間～数ヶ月),チャート,,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\41.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 blue13 さんの売買予想。 目標株価： 550円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,スカパーJSATホールディングス,2011/11/04,13:16,買い予想,blue13さん,220.51,425.0,+41.48,550,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\42.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 yosi_0701 さんの売買予想。 目標株価： 510円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) kai-yosou,スカパーJSATホールディングス,2011/11/02,11:12,買い予想,yosi_0701さん,74.93,415.0,+49.33,510,短期(数分～数日),業績(会社計画の修正発表を含む),,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\43.html
スカパーＪＳＡＴホールディングス(9412)の買い予想。 birdｅｙｅ さんの売買予想。 目標株価： 608円 期間： 長期(数ヶ月～数年) 理由： チャート デジタル放送,スカパーJSATホールディングス,2011/10/01,13:51,買い予想,birdｅｙｅさん,376.24,395.0,+66.23,607,長期(数ヶ月～数年),チャート,,488.0,04月10日,12:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9412-スカパーJSATホールディングス/2017-04-10-12-18-57/comment\44.html
