概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
ＩＨＩ(7013)の買い予想。 sak**a04*9fubuk**222 さんの売買予想。 目標株価： 495円 期間： 短期(数分~数日) 理由： その他 良さそう,IHI,2014/01/08,11:12,買い予想,sak**a04*9fubuk**222さん,72.16,478.0,-66.62,495,短期(数分～数日),その他,順調に上がってるから,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\108.html
ＩＨＩ(7013)の買い予想。 trade999 さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,IHI,2014/01/04,02:55,買い予想,trade999さん,137.09,449.0,-52.56,600,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\109.html
ＩＨＩ(7013)の売り予想。 okuhide さんの売買予想。 目標株価： 280円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 上がってるのが不思議,IHI,2017/02/18,07:36,売り予想,okuhideさん,-14.78,334.0,-28.94,280,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,367.0,04月09日,20:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\11.html
ＩＨＩ(7013)の買い予想。 鉄兵 さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い,IHI,2014/01/03,23:29,買い予想,鉄兵さん,62.44,449.0,-52.56,500,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\110.html
ＩＨＩ(7013)の買い予想。 地球猛獣群 さんの売買予想。 目標株価： 451円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 準備中バウ。,IHI,2013/12/06,15:53,買い予想,地球猛獣群さん,72.7,445.0,-50.48,451,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\111.html
ＩＨＩ(7013)の買い予想。 エンジニア01 さんの売買予想。 目標株価： 714円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成,IHI,2013/11/10,12:16,買い予想,エンジニア01さん,77.03,401.0,-24.81,714,短期(数分～数日),その他,,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\112.html
ＩＨＩ(7013)の買い予想。 スパークリング さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,IHI,2013/10/25,18:46,買い予想,スパークリングさん,88.02,405.0,-27.38,600,中期(数週間～数ヶ月),チャート,,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\113.html
ＩＨＩ(7013)の買い予想。 ☆プリ☆彡 さんの売買予想。 目標株価： 415円 期間： 中期(数週間~数ヶ月) 理由： その他 ★→☆,IHI,2013/10/07,07:12,買い予想,☆プリ☆彡さん,426.89,380.0,-10.47,415,中期(数週間～数ヶ月),その他,,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\114.html
ＩＨＩ(7013)の買い予想。 tashigi さんの売買予想。 目標株価： 466円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い時,IHI,2013/09/24,00:04,買い予想,tashigiさん,-29.53,418.0,-35.37,466,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\115.html
ＩＨＩ(7013)の買い予想。 シュウート さんの売買予想。 目標株価： 812円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,IHI,2013/09/15,00:59,買い予想,シュウートさん,48.06,408.0,-29.27,812,中期(数週間～数ヶ月),チャート,買い,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\116.html
