企業名,スクレイピング更新コメント時間_最新,スクレイピング更新コメント時間_最古,スクレイピング参照コメント時間,前回取得した最新フォルダ,スクレイピング更新結果
太平洋セメント,2017-04-09 10:59:00,2017-04-09 10:59:00,2017-04-09 10:59:00,2017-04-10 20:31:17,Not update
東海カーボン,2017-03-20 03:52:00,2017-03-20 03:52:00,2017-03-20 03:52:00,2017-04-09 03:28:44,Not update
TOTO,2017-03-21 21:41:00,2017-03-21 21:41:00,2017-03-21 21:41:00,2017-04-09 03:32:36,Not update
日本碍子,2017-04-07 12:51:00,2017-04-07 12:51:00,2017-04-07 12:51:00,2017-04-09 03:37:15,Not update
新日鐵住金,2017-04-09 10:59:00,2017-04-09 10:59:00,2017-04-09 10:59:00,2017-04-09 12:12:19,Not update
神戸製鋼所,2017-04-08 10:13:00,2017-04-08 10:13:00,2017-04-08 10:13:00,2017-04-09 03:59:09,Not update
ジェイエフイーホールディングス,2017-04-06 20:53:00,2017-04-06 20:53:00,2017-04-06 20:53:00,2017-04-09 04:07:01,Not update
日新製鋼,2017-03-28 06:30:00,2017-03-28 06:30:00,2017-03-28 06:30:00,2017-04-09 04:15:15,Not update
大平洋金属,2017-03-16 23:03:00,2017-03-16 23:03:00,2017-03-16 23:03:00,2017-04-09 04:16:32,Not update
日本製鋼所,2017-04-09 22:45:00,2017-04-09 22:45:00,2017-04-09 22:45:00,2017-04-10 20:33:19,Not update
日本軽金属ホールディングス,2017-03-14 20:45:00,2017-03-14 20:45:00,2017-03-14 20:45:00,2017-04-09 12:14:04,Not update
三井金属鉱業,2017-03-18 15:49:00,2017-03-18 15:49:00,2017-03-18 15:49:00,2017-04-09 12:16:43,Not update
東邦亜鉛,2017-04-10 16:34:00,2017-04-10 16:34:00,2017-04-10 16:34:00,2017-04-10 20:33:49,Not update
三菱マテリアル,2017-04-04 17:34:00,2017-04-04 17:34:00,2017-04-04 17:34:00,2017-04-09 12:23:41,Not update
住友金属鉱山,2017-04-09 18:46:00,2017-04-09 18:46:00,2017-04-09 18:46:00,2017-04-10 20:34:47,Not update
DOWAホールディングス,2017-04-08 14:37:00,2017-04-08 14:37:00,2017-04-08 14:37:00,2017-04-09 12:38:24,Not update
古河機械金属,2017-04-10 08:41:00,2017-04-10 08:41:00,2017-04-10 08:41:00,2017-04-10 20:35:47,Not update
古河電気工業,2017-04-10 21:04:00,2017-04-10 21:04:00,2017-04-10 21:04:00,2017-04-10 22:17:54,Not update
住友電気工業,2017-04-09 23:27:00,2017-04-09 23:27:00,2017-04-09 23:27:00,2017-04-10 20:36:59,Not update
フジクラ,2017-04-05 13:00:00,2017-04-05 13:00:00,2017-04-05 13:00:00,2017-04-09 12:54:25,Not update
東洋製罐グループホールディングス,2017-04-04 20:48:00,2017-04-04 20:48:00,2017-04-04 20:48:00,2017-04-09 12:57:20,Not update
オークマ,2017-02-26 15:37:00,2017-02-26 15:37:00,2017-02-26 15:37:00,2017-04-09 12:59:04,Not update
アマダホールディングス,2017-03-03 13:53:00,2017-03-03 13:53:00,2017-03-03 13:53:00,2017-04-09 13:02:13,Not update
小松製作所,2017-04-10 00:40:00,2017-04-10 00:40:00,2017-04-10 00:40:00,2017-04-10 20:38:26,Not update
住友重機械工業,2017-03-27 14:30:00,2017-03-27 14:30:00,2017-03-27 14:30:00,2017-04-09 13:27:59,Not update
日立建機,2017-04-10 00:46:00,2017-04-10 00:46:00,2017-04-10 00:46:00,2017-04-10 20:39:30,Not update
クボタ,2017-04-08 18:49:00,2017-04-08 18:49:00,2017-04-08 18:49:00,2017-04-09 13:38:16,Not update
荏原製作所,2017-03-27 14:31:00,2017-03-27 14:31:00,2017-03-27 14:31:00,2017-04-09 13:44:27,Not update
千代田化工建設,2017-04-10 18:35:00,2017-04-10 18:35:00,2017-04-10 18:35:00,2017-04-10 20:40:38,Not update
ダイキン工業,2017-04-04 11:17:00,2017-04-04 11:17:00,2017-04-04 11:17:00,2017-04-09 13:52:00,Not update
日本精工,2017-03-27 14:40:00,2017-03-27 14:40:00,2017-03-27 14:40:00,2017-04-09 14:00:18,Not update
NTN,2017-04-06 21:42:00,2017-04-06 21:42:00,2017-04-06 21:42:00,2017-04-09 14:03:40,Not update
ジェイテクト,2017-04-09 18:46:00,2017-04-09 18:46:00,2017-04-09 18:46:00,2017-04-10 20:41:59,Not update
ミネベア,2017-04-07 09:14:00,2017-04-07 09:14:00,2017-04-07 09:14:00,2017-04-09 14:12:37,Not update
日立製作所,2017-04-07 06:37:00,2017-04-07 06:37:00,2017-04-07 06:37:00,2017-04-09 14:17:30,Not update
東芝,2017-04-10 12:15:00,2017-04-10 12:15:00,2017-04-10 12:15:00,2017-04-10 21:05:58,Not update
三菱電機,2017-04-10 15:42:00,2017-04-10 15:42:00,2017-04-10 15:42:00,2017-04-10 21:07:06,Not update
富士電機,2017-04-05 09:41:00,2017-04-05 09:41:00,2017-04-05 09:41:00,2017-04-09 15:52:21,Not update
安川電機,2017-04-08 03:22:00,2017-04-08 03:22:00,2017-04-08 03:22:00,2017-04-09 15:58:17,Not update
明電舎,2017-03-14 11:55:00,2017-03-14 11:55:00,2017-03-14 11:55:00,2017-04-09 16:03:30,Not update
ジーエス・ユアサコーポレーション,2017-04-05 10:05:00,2017-04-05 10:05:00,2017-04-05 10:05:00,2017-04-09 16:07:30,Not update
日本電気,2017-04-09 09:37:00,2017-04-09 09:37:00,2017-04-09 09:37:00,2017-04-09 16:24:12,Not update
富士通,2017-04-10 08:53:00,2017-04-10 08:53:00,2017-04-10 08:53:00,2017-04-10 21:08:40,Not update
沖電気工業,2017-03-27 14:47:00,2017-03-27 14:47:00,2017-03-27 14:47:00,2017-04-09 16:46:02,Not update
パナソニック,2017-04-09 18:39:00,2017-04-09 18:39:00,2017-04-09 18:39:00,2017-04-10 21:09:42,Not update
ソニー,2017-04-10 01:10:00,2017-04-10 01:10:00,2017-04-10 01:10:00,2017-04-10 21:10:41,Not update
TDK,2017-04-07 14:51:00,2017-04-07 14:51:00,2017-04-07 14:51:00,2017-04-09 18:41:03,Not update
アルプス電気,2017-04-10 10:06:00,2017-04-10 10:06:00,2017-04-10 10:06:00,2017-04-10 21:11:59,Not update
パイオニア,2017-04-08 14:43:00,2017-04-08 14:43:00,2017-04-08 14:43:00,2017-04-09 18:56:07,Not update
横河電機,2017-03-27 14:51:00,2017-03-27 14:51:00,2017-03-27 14:51:00,2017-04-09 19:08:40,Not update
アドバンテスト,2017-04-07 11:30:00,2017-04-07 11:30:00,2017-04-07 11:30:00,2017-04-09 19:11:49,Not update
デンソー,2017-04-10 14:00:00,2017-04-10 14:00:00,2017-04-10 14:00:00,2017-04-10 21:14:09,Not update
カシオ計算機,2017-03-27 14:53:00,2017-03-27 14:53:00,2017-03-27 14:53:00,2017-04-09 19:25:57,Not update
ファナック,2017-04-10 01:30:00,2017-04-10 01:30:00,2017-04-10 01:30:00,2017-04-10 21:15:09,Not update
京セラ,2017-04-08 00:59:00,2017-04-08 00:59:00,2017-04-08 00:59:00,2017-04-09 19:41:14,Not update
太陽誘電,2017-04-09 18:38:00,2017-04-09 18:38:00,2017-04-09 18:38:00,2017-04-09 19:47:14,Not update
日東電工,2017-04-06 18:51:00,2017-04-06 18:51:00,2017-04-06 18:51:00,2017-04-09 19:51:45,Not update
三井造船,2017-03-31 08:55:00,2017-03-31 08:55:00,2017-03-31 08:55:00,2017-04-09 20:01:06,Not update
日立造船,2017-03-29 07:25:00,2017-03-29 07:25:00,2017-03-29 07:25:00,2017-04-09 20:06:55,Not update
三菱重工業,2017-04-09 19:14:00,2017-04-09 19:14:00,2017-04-09 19:14:00,2017-04-09 20:12:50,Not update
川崎重工業,2017-04-09 18:51:00,2017-04-09 18:51:00,2017-04-09 18:51:00,2017-04-09 20:34:35,Not update
IHI,2017-04-09 15:51:00,2017-04-09 15:51:00,2017-04-09 15:51:00,2017-04-09 20:44:33,Not update
コンコルディア・フィナンシャルグループ,2017-04-10 15:32:00,2017-04-10 15:32:00,2017-04-10 15:32:00,2017-04-10 21:17:11,Not update
日産自動車,2017-04-10 19:37:00,2017-04-10 19:37:00,2017-04-10 19:37:00,2017-04-10 21:17:57,Not update
いすゞ自動車,2017-04-01 11:14:00,2017-04-01 11:14:00,2017-04-01 11:14:00,2017-04-09 21:31:29,Not update
トヨタ自動車,2017-04-09 15:00:00,2017-04-09 15:00:00,2017-04-09 15:00:00,2017-04-09 21:39:48,Not update
日野自動車,2017-04-08 00:56:00,2017-04-08 00:56:00,2017-04-08 00:56:00,2017-04-09 23:11:45,Not update
三菱自動車工業,2017-03-22 14:44:00,2017-03-22 14:44:00,2017-03-22 14:44:00,2017-04-09 23:15:09,Not update
マツダ,2017-04-08 02:37:00,2017-04-08 02:37:00,2017-04-08 02:37:00,2017-04-09 23:38:42,Not update
本田技研工業,2017-04-09 07:06:00,2017-04-09 07:06:00,2017-04-09 07:06:00,2017-04-10 00:03:06,Not update
スズキ,2017-03-27 15:34:00,2017-03-27 15:34:00,2017-03-27 15:34:00,2017-04-10 00:27:46,Not update
富士重工業,2017-04-10 09:15:00,2017-04-10 09:15:00,2017-04-10 09:15:00,2017-04-10 21:19:54,Not update
ヤマハ発動機,2017-03-29 10:38:00,2017-03-29 10:38:00,2017-03-29 10:38:00,2017-04-10 00:48:57,Not update
ニコン,2017-04-01 10:56:00,2017-04-01 10:56:00,2017-04-01 10:56:00,2017-04-10 00:56:07,Not update
オリンパス,2017-04-01 10:54:00,2017-04-01 10:54:00,2017-04-01 10:54:00,2017-04-10 01:05:23,Not update
SCREENホールディングス,2017-04-03 09:00:00,2017-04-03 09:00:00,2017-04-03 09:00:00,2017-04-10 01:17:09,Not update
キヤノン,2017-04-10 14:37:00,2017-04-10 14:37:00,2017-04-10 14:37:00,2017-04-10 21:21:30,Not update
リコー,2017-04-06 18:36:00,2017-04-06 18:36:00,2017-04-06 18:36:00,2017-04-10 01:37:35,Not update
シチズンホールディングス,2017-03-31 23:50:00,2017-03-31 23:50:00,2017-03-31 23:50:00,2017-04-10 01:43:04,Not update
凸版印刷,2017-03-30 11:09:00,2017-03-30 11:09:00,2017-03-30 11:09:00,2017-04-10 01:47:23,Not update
大日本印刷,2017-02-26 15:47:00,2017-02-26 15:47:00,2017-02-26 15:47:00,2017-04-10 01:49:53,Not update
ヤマハ,2017-03-30 11:03:00,2017-03-30 11:03:00,2017-03-30 11:03:00,2017-04-10 01:52:31,Not update
伊藤忠商事,2017-04-06 19:52:00,2017-04-06 19:52:00,2017-04-06 19:52:00,2017-04-10 01:57:33,Not update
丸紅,2017-04-10 18:33:00,2017-04-10 18:33:00,2017-04-10 18:33:00,2017-04-10 21:23:16,Not update
豊田通商,2017-02-26 15:30:00,2017-02-26 15:30:00,2017-02-26 15:30:00,2017-04-10 02:23:29,Not update
ユニー・ファミリーマートホールディングス,2017-03-27 16:04:00,2017-03-27 16:04:00,2017-03-27 16:04:00,2017-04-10 02:27:40,Not update
三井物産,2017-04-10 10:10:00,2017-04-10 10:10:00,2017-04-10 10:10:00,2017-04-10 21:24:21,Not update
東京エレクトロン,2017-04-10 14:55:00,2017-04-10 14:55:00,2017-04-10 14:55:00,2017-04-10 21:25:15,Not update
住友商事,2017-04-02 23:12:00,2017-04-02 23:12:00,2017-04-02 23:12:00,2017-04-10 03:00:03,Not update
三菱商事,2017-04-03 21:59:00,2017-04-03 21:59:00,2017-04-03 21:59:00,2017-04-10 03:12:22,Not update
高島屋,2017-04-08 12:46:00,2017-04-08 12:46:00,2017-04-08 12:46:00,2017-04-10 03:39:55,Not update
丸井グループ,2017-02-26 14:33:00,2017-02-26 14:33:00,2017-02-26 14:33:00,2017-04-10 03:43:22,Not update
クレディセゾン,2017-04-04 17:32:00,2017-04-04 17:32:00,2017-04-04 17:32:00,2017-04-10 03:46:02,Not update
イオン,2017-04-06 19:10:00,2017-04-06 19:10:00,2017-04-06 19:10:00,2017-04-10 03:49:57,Not update
新生銀行,2017-03-27 16:10:00,2017-03-27 16:10:00,2017-03-27 16:10:00,2017-04-10 04:23:01,Not update
あおぞら銀行,2017-04-05 09:52:00,2017-04-05 09:52:00,2017-04-05 09:52:00,2017-04-10 04:30:29,Not update
三菱UFJフィナンシャル・グループ,2017-04-10 17:40:00,2017-04-10 17:40:00,2017-04-10 17:40:00,2017-04-10 21:27:14,Not update
りそなホールディングス,2017-04-08 08:20:00,2017-04-08 08:20:00,2017-04-08 08:20:00,2017-04-10 05:47:50,Not update
三井住友トラスト・ホールディングス,2017-04-08 19:50:00,2017-04-08 19:50:00,2017-04-08 19:50:00,2017-04-10 06:00:16,Not update
三井住友フィナンシャルグループ,2017-04-09 18:39:00,2017-04-09 18:39:00,2017-04-09 18:39:00,2017-04-10 06:04:15,Not update
千葉銀行,2017-04-07 13:26:00,2017-04-07 13:26:00,2017-04-07 13:26:00,2017-04-10 06:35:45,Not update
ふくおかフィナンシャルグループ,2017-04-07 13:22:00,2017-04-07 13:22:00,2017-04-07 13:22:00,2017-04-10 06:38:06,Not update
静岡銀行,2017-03-27 16:15:00,2017-03-27 16:15:00,2017-03-27 16:15:00,2017-04-10 06:39:48,Not update
みずほフィナンシャルグループ,2017-04-08 12:37:00,2017-04-08 12:37:00,2017-04-08 12:37:00,2017-04-10 06:41:38,Not update
大和証券グループ本社,2017-04-10 19:40:00,2017-04-10 19:40:00,2017-04-10 19:40:00,2017-04-10 21:29:22,Not update
野村ホールディングス,2017-04-08 22:35:00,2017-04-08 22:35:00,2017-04-08 22:35:00,2017-04-10 09:23:26,Not update
松井証券,2017-03-27 16:29:00,2017-03-27 16:29:00,2017-03-27 16:29:00,2017-04-10 09:48:49,Not update
損保ジャパン日本興亜ホールディングス,2017-04-04 13:48:00,2017-04-04 13:48:00,2017-04-04 13:48:00,2017-04-10 09:53:59,Not update
MS＆ADインシュアランスグループホールディングス,2017-03-28 02:09:00,2017-03-28 02:09:00,2017-03-28 02:09:00,2017-04-10 09:56:45,Not update
ソニーフィナンシャルホールディングス,2017-04-09 23:04:00,2017-04-09 23:04:00,2017-04-09 23:04:00,2017-04-10 09:59:16,Not update
第一生命ホールディングス,2017-04-10 08:57:00,2017-04-10 08:57:00,2017-04-10 08:57:00,2017-04-10 10:03:39,Not update
東京海上ホールディングス,2017-04-10 18:57:00,2017-04-10 18:57:00,2017-04-10 18:57:00,2017-04-10 21:31:13,Not update
T＆Dホールディングス,2017-04-10 08:55:00,2017-04-10 08:55:00,2017-04-10 08:55:00,2017-04-10 10:19:29,Not update
三井不動産,2017-04-07 12:49:00,2017-04-07 12:49:00,2017-04-07 12:49:00,2017-04-10 10:22:18,Not update
三菱地所,2017-03-30 08:28:00,2017-03-30 08:28:00,2017-03-30 08:28:00,2017-04-10 10:28:36,Not update
東京建物,2017-04-01 12:01:00,2017-04-01 12:01:00,2017-04-01 12:01:00,2017-04-10 10:34:18,Not update
住友不動産,2017-03-28 21:03:00,2017-03-28 21:03:00,2017-03-28 21:03:00,2017-04-10 10:38:36,Not update
東武鉄道,2017-02-26 15:50:00,2017-02-26 15:50:00,2017-02-26 15:50:00,2017-04-10 10:41:57,Not update
東京急行電鉄,2017-03-30 20:09:00,2017-03-30 20:09:00,2017-03-30 20:09:00,2017-04-10 10:44:57,Not update
小田急電鉄,2017-02-26 15:51:00,2017-02-26 15:51:00,2017-02-26 15:51:00,2017-04-10 10:48:22,Not update
京王電鉄,2017-02-26 15:52:00,2017-02-26 15:52:00,2017-02-26 15:52:00,2017-04-10 10:50:04,Not update
京成電鉄,2017-03-27 16:47:00,2017-03-27 16:47:00,2017-03-27 16:47:00,2017-04-10 10:51:21,Not update
東日本旅客鉄道,2017-03-27 16:48:00,2017-03-27 16:48:00,2017-03-27 16:48:00,2017-04-10 10:53:11,Not update
西日本旅客鉄道,2017-04-05 12:49:00,2017-04-05 12:49:00,2017-04-05 12:49:00,2017-04-10 11:01:41,Not update
東海旅客鉄道,2017-03-29 22:44:00,2017-03-29 22:44:00,2017-03-29 22:44:00,2017-04-10 11:06:26,Not update
日本通運,2017-04-09 13:05:00,2017-04-09 13:05:00,2017-04-09 13:05:00,2017-04-10 11:12:27,Not update
ヤマトホールディングス,2017-04-10 18:37:00,2017-04-10 18:37:00,2017-04-10 18:37:00,2017-04-10 21:34:58,Not update
日本郵船,2017-04-09 11:01:00,2017-04-09 11:01:00,2017-04-09 11:01:00,2017-04-10 11:20:24,Not update
商船三井,2017-04-05 12:27:00,2017-04-05 12:27:00,2017-04-05 12:27:00,2017-04-10 11:33:36,Not update
川崎汽船,2017-04-04 23:21:00,2017-04-04 23:21:00,2017-04-04 23:21:00,2017-04-10 11:45:19,Not update
ANAホールディングス,2017-04-01 16:29:00,2017-04-01 16:29:00,2017-04-01 16:29:00,2017-04-10 11:52:02,Not update
三菱倉庫,2017-04-09 23:15:00,2017-04-09 23:15:00,2017-04-09 23:15:00,2017-04-10 12:16:51,Not update
スカパーJSATホールディングス,2017-03-24 16:42:00,2017-03-24 16:42:00,2017-03-24 16:42:00,2017-04-10 12:18:57,Not update
日本電信電話,2017-03-27 21:39:00,2017-03-27 21:39:00,2017-03-27 21:39:00,2017-04-10 12:22:47,Not update
KDDI,2017-04-08 01:03:00,2017-04-08 01:03:00,2017-04-08 01:03:00,2017-04-10 12:30:16,Not update
NTTドコモ,2017-04-04 11:20:00,2017-04-04 11:20:00,2017-04-04 11:20:00,2017-04-10 12:41:59,Not update
東京電力ホールディングス,2017-04-09 10:37:00,2017-04-09 10:37:00,2017-04-09 10:37:00,2017-04-10 13:01:42,Not update
中部電力,2017-03-07 11:45:00,2017-03-07 11:45:00,2017-03-07 11:45:00,2017-04-10 14:13:34,Not update
関西電力,2017-04-10 18:18:00,2017-04-10 18:18:00,2017-04-10 18:18:00,2017-04-10 21:37:21,Not update
東京瓦斯,2017-04-01 11:59:00,2017-04-01 11:59:00,2017-04-01 11:59:00,2017-04-10 14:33:58,Not update
