概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
王子ホールディングス(3861)の買い予想。 dover さんの売買予想。 目標株価： 567円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 .,王子ホールディングス,2017/02/21,11:54,買い予想,doverさん,75.34,540.0,-14.74,567,中期(数週間～数ヶ月),個人投資家の予想,,513.0,04月08日,22:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\5.html
王子ホールディングス(3861)の買い予想。 HAPIKA さんの売買予想。 目標株価： 288円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) サラリーマンの年収を１日で稼ぐ【５冠王】の意見「貝」に賛成,王子ホールディングス,2012/10/10,01:11,買い予想,HAPIKAさん,317.31,217.0,+386.57,288,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,513.0,04月08日,22:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\50.html
王子ホールディングス(3861)の買い予想。 【ランキング１位】神様【５冠王】 さんの売買予想。 目標株価： 233円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,王子ホールディングス,2012/10/10,00:59,買い予想,【ランキング１位】神様【５冠王】さん,591.12,217.0,+386.57,233,長期(数ヶ月～数年),その他,,513.0,04月08日,22:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\51.html
王子ホールディングス(3861)の買い予想。 moko♡ さんの売買予想。 目標株価： 233円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡,王子ホールディングス,2012/10/09,23:23,買い予想,moko♡さん,338.94,217.0,+386.57,233,中期(数週間～数ヶ月),チャート,"全銘柄分析中で～す♡ 

モゴモゴだね 
　(＊^_-＊)~♡ 

",513.0,04月08日,22:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\52.html
王子ホールディングス(3861)の買い予想。 takeshi0324 さんの売買予想。 目標株価： 387円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,王子ホールディングス,2012/06/20,14:28,買い予想,takeshi0324さん,55.18,285.0,+226.49,387,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/06/20 01:36
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「387円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",513.0,04月08日,22:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\53.html
王子ホールディングス(3861)の買い予想。 lexファンド さんの売買予想。 目標株価： 344円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,王子ホールディングス,2012/05/18,07:36,買い予想,lexファンドさん,372.46,309.0,+373.62,344,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,513.0,04月08日,22:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\54.html
王子ホールディングス(3861)の売り予想。 てゐ さんの売買予想。 目標株価： 324円 期間： 中期(数週間~数ヶ月) 理由： チャート もぐもぐ,王子ホールディングス,2012/05/14,12:35,売り予想,てゐさん,-370.37,345.0,-139.29,324,中期(数週間～数ヶ月),チャート,ダンボール事業の強化コスト争いに巻き込まれ・・。,513.0,04月08日,22:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\55.html
王子ホールディングス(3861)の買い予想。 rimoon さんの売買予想。 目標株価： 435円 期間： 短期(数分~数日) 理由： その他 買い,王子ホールディングス,2012/03/07,11:37,買い予想,rimoonさん,170.91,416.0,+65.62,435,短期(数分～数日),その他,,513.0,04月08日,22:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\56.html
王子ホールディングス(3861)の買い予想。 arama- さんの売買予想。 目標株価： 450円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 営業利益増,王子ホールディングス,2011/11/15,07:12,買い予想,arama-さん,177.73,385.0,+93.80,450,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),営業利益上方修正,513.0,04月08日,22:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\57.html
王子ホールディングス(3861)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 420円 期間： 長期(数ヶ月～数年) 理由： その他 買い,王子ホールディングス,2011/11/14,15:16,買い予想,goodknight1987さん,319.77,385.0,+93.80,420,長期(数ヶ月～数年),その他,,513.0,04月08日,22:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3861-王子ホールディングス/2017-04-08-22-16-05/comment\58.html
